SubscriptionName,SubscriptionId,Region,ResourceProvider,ResourceName,DisplayName,CurrentUsage,QuotaLimit,Unit
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.App,ManagedEnvironmentCount,Managed Environment Count,0,50,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.App,SubscriptionDedicatedNCA100Gpus,Subscription Dedicated NCA 100 Gpus,-1,0,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.App,SessionPools,Session Pools,0,50,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.App,ExpressEnvironmentCount,Express Environment Count,0,500,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Storage,StorageAccounts,Storage Accounts,18,250,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.StorageCache,Cache,Cache,0,4,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.StorageCache,AmlFilesystem,AmlFilesystem,0,4,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,VirtualNetworks,Virtual Networks,1,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,CustomIpPrefixes,Custom Ip Prefixes,0,5,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PublicIpPrefixes,Public Ip Prefixes,0,2147483647,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PublicIPAddresses,Public IP Addresses,1,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv4BasicSkuPublicIpAddresses,Public IPv4 Addresses - Basic,-1,0,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv6BasicSkuPublicIpAddresses,Public IPv6 Addresses - Basic,-1,0,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv4StandardSkuPublicIpAddresses,Public IPv4 Addresses - Standard,1,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv6StandardSkuPublicIpAddresses,Public IPv6 Addresses - Standard,0,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv4GlobalTierPublicIpAddresses,Public IPv4 Addresses - Global Tier,0,20,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv6GlobalTierPublicIpAddresses,Public IPv6 Addresses - Global Tier,0,20,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv4InternetRoutingPreferencePublicIpAddresses,Public IPv4 Addresses - Internet Routing Preference,0,20,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPv6InternetRoutingPreferencePublicIpAddresses,Public IPv6 Addresses - Internet Routing Preference,0,20,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,NetworkSecurityGroups,Network Security Groups,11,5000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,NatGateways,Nat Gateways,0,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,NetworkInterfaces,Network Interfaces,40,65536,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PrivateEndpoints,Private Endpoints,31,65536,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PrivateEndpointRedirectMaps,Private Endpoint Redirect Maps,0,2147483647,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,LoadBalancers,Load Balancers,2,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PrivateLinkServices,Private Link Services,0,1800,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PrivateLinkServicesDirectConnect,Private Link Services Direct Connect,0,10,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,ApplicationGateways,Application Gateways,1,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,RouteTables,Route Tables,2,600,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,RouteFilters,Route Filters,0,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,NetworkInterfaceTapConfiguration,Network Interface Tap Configuration.,0,10,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,NetworkWatchers,Network Watchers,1,1,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PacketCaptures,Packet Captures,0,10000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,ApplicationSecurityGroups,Application Security Groups.,0,3000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,DdosProtectionPlans,DDoS Protection Plans.,0,1,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,DdosCustomPolicies,DDoS customized policies,0,200,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,ServiceEndpointPolicies,Service Endpoint Policies,0,500,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,NetworkIntentPolicies,Network Intent Policies,1,400,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,StandardSkuLoadBalancers,Standard Sku Load Balancers,2,1000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,ServiceSkuLoadBalancers,Service Sku Load Balancers,0,10000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,AuxiliaryModeEnabledNetworkInterfaces,Auxiliary Mode Enabled Network Interfaces,0,10,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,VirtualNetworkAppliances,Virtual Network Appliances,0,2,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,DnsServersPerVirtualNetwork,DNS servers per Virtual Network,0,20,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,CustomDnsServersPerP2SVpnGateway,Custom DNS servers per P2SVpnGateway,0,5,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,SubnetsPerVirtualNetwork,Subnets per Virtual Network,0,3000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPConfigurationsPerVirtualNetwork,IP Configurations per Virtual Network,0,65536,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,IPV6ConfigurationsPerNetworkInterface,IPV6 Configurations per Network Interface,0,8,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PeeringsPerVirtualNetwork,Peerings per Virtual Network,0,500,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,PrefixesPerSubnet,Prefixes per Subnet,0,25,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,SecurityRulesPerNetworkSecurityGroup,Security rules per Network Security Group,0,2000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,SecurityRulesPerNetworkIntentPolicy,Security rules per Network Intent Policy,0,100,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,RoutesPerNetworkIntentPolicy,Routes per Network Intent Policy,0,200,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,SecurityRuleAddressesOrPortsPerNetworkSecurityGroup,Security rules addresses or ports per Network Security Group,0,6000,Count
rm-artfds-slz-n-sub-01,23b1a3cd-0e03-4852-aa04-bad88fd77c6b,northeurope,Microsoft.Network,InboundRulesPerLoadBalancer,Inbound Rules per Load Balancer,0,250,Count
